Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
50,Torrinosoce,Yeli,Yeli Parish,Yerinte,Imamah of Yerinte,Astellian,Yerinish Creed,town,1129,428.27,578.11,17.46,-8.31,1089,13°C,Milan (Italy),,,,,,,,{t1:argent;charges:[{charge:fly;t:gules;p:abcpqh;t2:gules;t3:gules;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Torrinosoce&population=1129&size=14&seed=2563131000050&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
51,Viciconiame,Celleria,Celleria County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,529,159.96,537.78,19.39,-21.15,121,18°C,Barcelona (Spain),,,,,,,,{t1:or;charges:[{charge:scaleImbalanced;t:gules;p:e;t2:gules;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Viciconiame&population=529&size=10&seed=2563131000051&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
52,Kirviegunum,Ining,Ining Territory,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,village,1424,678.53,528.76,19.82,3.66,9,19°C,Marrakesh (Morocco),,,,,,,,{t1:argent;ordinaries:[{ordinary:terrace;t:azure;line:indented}];charges:[{charge:castle2;t:sable;p:bdf;t2:sable;t3:sable;size:0.5}];shield:oval},https://watabou.github.io/village-generator/?pop=1424&name=Kirviegunum&seed=2563131000052&width=1400&height=683&style=default&tags=highway%2Cno+square%2Cdense
53,Trisenau,Utnau,Utnau Parish,Puines,Puinian Theocracy,Shwazen,Shwazen Religion,town,1787,274.56,299.08,30.8,-15.66,100,11°C,Antwerp (Belgium),,port,citadel,,,,,{t1:argent;charges:[{charge:talbotSejant;t:purpure;p:e;t2:purpure;t3:azure;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Trisenau&population=1787&size=16&seed=2563131000053&river=0&coast=1&farms=0&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.93
54,Lochilerell,Areruria,Areruria County,Abergia,Kingdom of Abergia,Keltan,Bramburghism,city,931,851.71,565.73,18.05,11.95,49,20°C,Alexandria (Egypt),,port,citadel,walls,,,,{t1:gules;division:{division:perPile;t:argent;line:embattled};charges:[{charge:anchor;t:or;p:e;size:0.7}];shield:oval},https://watabou.github.io/city-generator/?name=Lochilerell&population=931&size=13&seed=2563131000054&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.97
55,Toprak,Toprak,Toprak Earldom,Sazkyurt,Beylik of Sazkyurt,Turchian,Kocapism,city,1339,311.52,596.3,16.59,-13.9,400,18°C,Barcelona (Spain),,,citadel,walls,,,,{t1:argent;charges:[{charge:cowStatant;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Toprak&population=1339&size=15&seed=2563131000055&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
56,Paisa,Paisa,Paisa Land,Boy,Boyan Khaganate,Soumi,Kocapism,town,593,459.7,226.78,34.26,-6.81,100,9°C,Copenhagen (Denmark),,,,,,,,{t1:purpure;charges:[{charge:horseshoe;t:or;p:e;size:1.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Paisa&population=593&size=11&seed=2563131000056&river=1&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
57,Knutsdon,North,North Earldom,Stansburia,Stansburian Empire,Angshire,Kocapism,city,1095,816.28,293.89,31.05,10.25,25,12°C,Paris (France),,port,,,,,,{t1:argent;ordinaries:[{ordinary:chief;t:azure;line:straight}];charges:[{charge:sunInSplendour;t:sable;p:emoz;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Knutsdon&population=1095&size=13&seed=2563131000057&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
58,Louvillemur,Lantaimancheb,Lantaimancheb Deanery,Chuelia,Diocese of Chuelia,Luari,Faith of Fateaux,village,524,130.94,459.21,23.15,-22.54,25,17°C,Lisbon (Portugal),,,,walls,,,,{t1:argent;division:{division:gyronny;t:purpure};charges:[{charge:scorpion;t:sable;p:e;divided:counter;size:1.5}];shield:french},https://watabou.github.io/village-generator/?pop=524&name=Louvillemur&seed=2563131000058&width=1000&height=488&style=default&tags=isolated%2Cfarmland%2Cno+square%2Cpalisade%2Cdense
59,Kilksey,Showland,Showland Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,village,778,1127.6,403.78,25.8,25.14,49,15°C,Rome (Italy),,,,,,,,{t1:or;ordinaries:[{ordinary:pilesInPoint;t:purpure}];charges:[{charge:lozengeFaceted;t:sable;p:e;size:1.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=778&name=Kilksey&seed=2563131000059&width=1000&height=488&style=default&tags=river%2Chighway%2Cno+square%2Cdense
60,Poyers,Fonces,Fonces Land,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,1946,271.94,348.04,28.46,-15.79,729,8°C,Prague (Czechia),,port,,,,,,{t1:vert;division:{division:perFess;t:or;line:straight};ordinaries:[{ordinary:pile;t:argent;divided:division}];shield:french},https://watabou.github.io/city-generator/?name=Poyers&population=1946&size=17&seed=2563131000060&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.07
61,Eschbruck,Tusachinia,Tusachinia Seneschalty,Tutachinia,Duchy of Tutachinia,Shwazen,Shwazen Religion,town,3267,382.65,364.31,27.68,-10.49,36,14°C,Washington (D.C.),,port,,,,,,{t1:argent;charges:[{charge:helmetGreat;t:gules;p:e;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Eschbruck&population=3267&size=20&seed=2563131000061&river=1&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.58
62,Koulamaski,New Turanmaa,New Turanmaa Colony,Turanmaa,Turanmaan Theocracy,Soumi,Kocapism,village,4717,344.66,164.44,37.24,-12.31,25,8°C,Prague (Czechia),,,,,,,,{t1:or;division:{division:perFess;t:semy_of_triangle-gules-argent;line:straight};charges:[{charge:crossLatin;t:azure;p:giz;divided:field;size:0.4};{charge:boat;t:azure;p:e;divided:division;size:1.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=4717&name=Koulamaski&seed=2563131000062&width=1600&height=780&style=default&tags=dead+end%2Cfarmland%2Cno+square%2Cdense
63,Altapa,Sivrek,Sivrek Shire,Boy,Boyan Khaganate,Turchian,Kocapism,town,2117,678.57,230.17,34.1,3.66,289,8°C,Prague (Czechia),,,,,,,,{t1:azure;division:{division:perPale;t:argent;line:firTrees};charges:[{charge:shield;t:or;p:p;t2:or;size:0.7};{charge:cavalier;t:gules;p:q;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Altapa&population=2117&size=17&seed=2563131000063&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
64,Grotronero,Grotatia,Grotatia Land,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,4854,218.33,511.94,20.62,-18.35,961,12°C,Paris (France),,,,,,,,{t1:purpure;charges:[{charge:lionRampant;t:or;p:e;t2:or;t3:argent;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Grotronero&population=4854&size=24&seed=2563131000064&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
65,Sayansuyol,Umanyurt,Umanyurt Parish,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,town,789,495.88,537.5,19.4,-5.08,16,19°C,Marrakesh (Morocco),,,,,,,,{t1:sable;ordinaries:[{ordinary:cross;t:argent;line:straight}];charges:[{charge:banner;t:gules;p:beh;t2:gules;size:0.3}];shield:round},https://watabou.github.io/city-generator/?name=Sayansuyol&population=789&size=12&seed=2563131000065&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
66,Casttile,Celleparno,Celleparno County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,village,5689,148.77,582.88,17.23,-21.68,169,19°C,Marrakesh (Morocco),,,,walls,,,,{t1:purpure;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:billet;t:gules;p:ABCDEFGHIJKL;t2:gules;size:0.18};{charge:cavalier;t:argent;p:e;size:1.1}];shield:horsehead},https://watabou.github.io/village-generator/?pop=5689&name=Casttile&seed=2563131000066&width=1600&height=780&style=default&tags=river%2Cisolated%2Cfarmland%2Cno+square%2Cpalisade%2Cdense
67,Deki,Yayaztopyurt,Yayaztopyurt County,Boy,Boyan Khaganate,Turchian,Kocapism,town,552,603.06,467.58,22.75,0.05,169,16°C,Dubrovnik (Croatia),,,,,,,,{t1:sable;division:{division:perChevronReversed;t:argent;line:straight};charges:[{charge:inescutcheon;t:or;p:dfh;divided:counter;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Deki&population=552&size=10&seed=2563131000067&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
68,Epelensuko,New Ayayruzun,New Ayayruzun Colony,Yerinte,Imamah of Yerinte,Turchian,Kocapism,village,6580,592.86,566.59,18.01,-0.44,36,20°C,Alexandria (Egypt),,,,,,,,{t1:argent;charges:[{charge:plaice;t:purpure;p:jln;t2:purpure;size:0.7}];shield:round},https://watabou.github.io/village-generator/?pop=6580&name=Epelensuko&seed=2563131000068&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
69,Totrinch,Redchamia,Redchamia Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,3370,1084.01,422.84,24.88,23.06,81,15°C,Rome (Italy),,,,,,,,{t1:argent;charges:[{charge:bridge;t:azure;p:jln;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Totrinch&population=3370&size=21&seed=2563131000069&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
70,Uxbronere,Uxbronere,Uxbronere County,Stansburia,Stansburian Empire,Angshire,Bramburghism,city,7594,913.55,359.02,27.94,14.9,625,10°C,London (England),,,,,,,,{t1:gules;division:{division:perBendSinister;t:argent;line:straight};ordinaries:[{ordinary:chief;t:or;line:straight;divided:field}];shield:wedged},https://watabou.github.io/city-generator/?name=Uxbronere&population=7594&size=28&seed=2563131000070&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
71,Piervillerais,Aunesardon,Aunesardon Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,3783,172.78,323.9,29.61,-20.53,64,13°C,Milan (Italy),,,,,,,,{t1:azure;ordinaries:[{ordinary:pale;t:argent;line:straight}];charges:[{charge:hindStatant;t:purpure;p:beh;t2:or;size:0.5;sinister:1}];shield:french},https://watabou.github.io/city-generator/?name=Piervillerais&population=3783&size=21&seed=2563131000071&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
72,Exning,Kirbuteria,Kirbuteria Earldom,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,town,499,1029.28,284.48,31.5,20.44,121,11°C,Antwerp (Belgium),,,citadel,,,,,{t1:semy_of_crossHummetty-argent-sable;division:{division:perFess;t:vert;line:straight};charges:[{charge:bell;t:gules;p:k;t2:gules;size:0.7};{charge:caravel;t:or;p:n;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Exning&population=499&size=10&seed=2563131000072&river=1&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
73,Invenek,Invenek,Invenek Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,1112,670.66,558.01,18.42,3.28,4,20°C,Alexandria (Egypt),,port,,,,,,{t1:sable;ordinaries:[{ordinary:chief;t:argent;line:barby}];charges:[{charge:inescutcheon;t:sable;p:abc;size:0.5}];shield:oval},https://watabou.github.io/city-generator/?name=Invenek&population=1112&size=14&seed=2563131000073&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.86
74,Ayayruzun,Ayayruzun,Ayayruzun Parish,Yerinte,Imamah of Yerinte,Turchian,Yerinish Creed,town,755,470.61,567.73,17.96,-6.29,36,20°C,Alexandria (Egypt),,,,,,,,{t1:sable;division:{division:perPale;t:or;line:rayonne};charges:[{charge:key;t:argent;p:p;size:0.7};{charge:attire;t:azure;p:q;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Ayayruzun&population=755&size=12&seed=2563131000074&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
75,Draxningley,Mitherslia,Mitherslia Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,2913,1036.52,427.65,24.65,20.79,4,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:sable;charges:[{charge:anchor;t:or;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Draxningley&population=2913&size=19&seed=2563131000075&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.6
76,Dutodute,Tresiumia,Tresiumia County,Sazkyurt,Beylik of Sazkyurt,Romian,Erugus Deities,town,4732,65.48,623.33,15.3,-25.67,49,21°C,Tegucigalpa (Honduras),,port,,walls,plaza,,,{t1:argent;ordinaries:[{ordinary:cross;t:gules;line:straight}];charges:[{charge:anchor;t:argent;p:behdf;size:0.3}];shield:roman},https://watabou.github.io/city-generator/?name=Dutodute&population=4732&size=23&seed=2563131000076&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=0&style=natural&sea=1.27
77,Mongordenti,Olicargan,Olicargan County,Abergia,Kingdom of Abergia,Keltan,Tamanian Heresy,town,610,922.18,577.68,17.48,15.32,36,20°C,Alexandria (Egypt),,,citadel,,,,,{t1:gules;division:{division:perPale;t:argent;line:bevilled};charges:[{charge:snail;t:or;p:p;t2:or;size:0.7};{charge:lizard;t:purpure;p:q;size:0.7}];shield:oval},https://watabou.github.io/city-generator/?name=Mongordenti&population=610&size=11&seed=2563131000077&river=1&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
78,Cambrigh,Altnesterby,Altnesterby Territory,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,3839,1157.64,370.63,27.38,26.58,16,14°C,Washington (D.C.),,port,,,,,,{t1:gules;charges:[{charge:crossedBones;t:argent;p:e;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Cambrigh&population=3839&size=22&seed=2563131000078&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.65
79,Sicos,Dios,Dios County,Abergia,Kingdom of Abergia,Elladan,Tamanian Heresy,town,879,975.26,601.9,16.32,17.86,9,21°C,Tegucigalpa (Honduras),,,,walls,,,,{t1:azure;division:{division:perPale;t:argent;line:straight};charges:[{charge:mace;t:or;p:jo;t2:or;divided:counter;size:0.7}];shield:boeotian},https://watabou.github.io/city-generator/?name=Sicos&population=879&size=12&seed=2563131000079&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
80,Sinach,Hagendorf,Hagendorf Parish,Fischrenia,Bishopric of Fischrenia,Shwazen,Shwazen Religion,city,4964,263.73,424.68,24.8,-16.18,576,12°C,Paris (France),,,,walls,,,,{t1:gules;charges:[{charge:lute;t:argent;p:e;t2:argent;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Sinach&population=4964&size=24&seed=2563131000080&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
81,Kirchal,Selstadt,Selstadt Parish,Fischrenia,Bishopric of Fischrenia,Shwazen,Shwazen Religion,town,1034,283.23,422.71,24.89,-15.25,1024,9°C,Copenhagen (Denmark),,,citadel,,,,,{t1:or;charges:[{charge:heron;t:sable;p:e;t2:sable;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Kirchal&population=1034&size=13&seed=2563131000081&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
82,Lapagaies,Pegera,Pegera Earldom,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,811,1011.33,551.29,18.74,19.58,484,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;charges:[{charge:wyvernWithWingsDisplayed;t:vert;p:e;t2:vert;t3:vert;size:1.5}];shield:boeotian},https://watabou.github.io/city-generator/?name=Lapagaies&population=811&size=12&seed=2563131000082&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
83,Borougham,Bucheap,Bucheap Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,779,988.84,370.56,27.38,18.51,324,12°C,Paris (France),,,,,,,,{t1:or;ordinaries:[{ordinary:pall;t:vert}];charges:[{charge:serpent;t:or;p:jleh;t2:or;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Borougham&population=779&size=12&seed=2563131000083&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
84,Bolmond,Berton,Berton County,Stansburia,Stansburian Empire,Angshire,Kocapism,town,1930,778.61,294.54,31.02,8.45,36,12°C,Paris (France),,,,,,,,{t1:purpure;division:{division:perSaltire;t:argent};charges:[{charge:rustre;t:or;p:b;size:0.5};{charge:flamberge;t:gules;p:d;size:0.5};{charge:bridge2;t:gules;p:f;size:0.5};{charge:swan;t:or;p:h;size:0.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Bolmond&population=1930&size=17&seed=2563131000084&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
85,Manoce,Manoce,Manoce Deanery,Chuelia,Diocese of Chuelia,Tallian,Faith of Fateaux,town,820,134,486.56,21.84,-22.39,900,12°C,Paris (France),,,,walls,,,,{t1:argent;ordinaries:[{ordinary:saltireParted;t:purpure;line:potenty}];charges:[{charge:maces;t:azure;p:jln;t2:azure;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Manoce&population=820&size=12&seed=2563131000085&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
86,Bascano,Castinia,Castinia Territory,Sazkyurt,Beylik of Sazkyurt,Tallian,Faith of Fateaux,town,1104,198.15,558.67,18.39,-19.32,1089,13°C,Milan (Italy),,,,,,,,{t1:azure;division:{division:perCross;t:vairAncien-sable-argent;line:straight};charges:[{charge:bridge;t:or;p:e;divided:counter;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Bascano&population=1104&size=14&seed=2563131000086&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
87,Angen,Bouaigaiglos,Bouaigaiglos Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,village,825,790.85,534.7,19.54,9.03,225,18°C,Barcelona (Spain),,,,,,,,{t1:sable;ordinaries:[{ordinary:pileInBend;t:argent}];charges:[{charge:crossPotent;t:purpure;p:eo;size:0.5}];shield:oval},https://watabou.github.io/village-generator/?pop=825&name=Angen&seed=2563131000087&width=1000&height=488&style=default&tags=highway%2Cno+square%2Cdense
88,Mortempierte,Sannessas,Sannessas Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,4947,81.36,394.03,26.26,-24.91,16,15°C,Rome (Italy),,,,,,,,{t1:azure;ordinaries:[{ordinary:terrace;t:or;line:straight}];charges:[{charge:cavalier;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Mortempierte&population=4947&size=24&seed=2563131000088&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
89,Snubalen,Enesetia,Enesetia Territory,Lauda,Grand Duchy of Lauda,Norse,Kocapism,town,1713,314.48,229.5,34.13,-13.76,169,9°C,Copenhagen (Denmark),,,,walls,,,,{t1:or;charges:[{charge:millstone;t:purpure;p:def;size:0.5}];shield:heater},https://watabou.github.io/city-generator/?name=Snubalen&population=1713&size=16&seed=2563131000089&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
90,Modfordbury,Redchamia,Redchamia Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,2273,1088.09,411.2,25.44,23.25,169,14°C,Washington (D.C.),,,,walls,,,,{t1:vert;division:{division:perCross;t:argent;line:straight};charges:[{charge:bridge;t:or;p:e;divided:counter;size:1.5}];shield:wedged},https://watabou.github.io/city-generator/?name=Modfordbury&population=2273&size=18&seed=2563131000090&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
